"last_name, first_name","player_id","year","k_percent","bb_percent","batting_avg","isolated_power","exit_velocity_avg","launch_angle_avg","hard_hit_percent","whiff_percent","swing_percent","pull_percent","opposite_percent","groundballs_percent","flyballs_percent"
"Tucker, Kyle","663656","2024",15.9,16.5,".289","0.296","91.1","21.2",44.9,19,41.8,41.8,32.4,27.1,41.3
"India, Jonathan","663697","2024",19.6,12.6,".248","0.144","87.2","13.5",36.5,19.2,38.3,41.2,19.4,43.2,22.8
"Bart, Joey","663698","2024",25.9,7.8,".265","0.197","88.1","10.5",38.7,26.2,43.7,45.3,18.2,48.6,23.8
"Raleigh, Cal","663728","2024",28,11.1,".220","0.216","91","21.2",48.1,31,52.3,45.5,21,31.1,36.7
"Fortes, Nick","663743","2024",12.2,3.3,".227","0.091","84.3","15.4",22.6,13.2,49.3,41.2,24.4,45.9,17.9
"Vierling, Matt","663837","2024",21.3,7.2,".257","0.166","89.8","11.7",40.9,19.5,42.8,36.8,25.6,42,23.6
"Stephenson, Tyler","663886","2024",22.7,9.3,".258","0.186","90.2","10.9",43.9,22.7,43.2,39.2,24.3,47.7,27.2
"Rodgers, Brendan","663898","2024",24.5,5.8,".267","0.140","89.3","4.9",44.1,25.9,49.3,33.3,22.3,56.7,16.9
"Lowe, Nathaniel","663993","2024",22.1,12.6,".265","0.136","88.9","7.7",40,20.6,42.7,27.9,31.2,48.5,22.5
"Happ, Ian","664023","2024",25.6,12.2,".243","0.198","90.8","15.1",45.2,27.9,45.9,38.7,27.3,39.2,30.3
"France, Ty","664034","2024",21.3,7.1,".234","0.131","88.7","12.9",40,24.2,51.2,33.2,30,45.1,27.3
"Lowe, Brandon","664040","2024",26.4,7.8,".244","0.229","89.8","14.5",44.7,32.7,55.3,44,17.8,36.4,31.6
"Bader, Harrison","664056","2024",21.7,4.8,".236","0.137","87.2","11.9",35.5,24.5,46.6,45.4,17.9,43.5,23.6
"Moore, Dylan","664238","2024",27.9,12,".201","0.166","88.4","22.6",36.3,24.8,42.4,49.8,19.1,29.9,33.5
"Isbel, Kyle","664728","2024",20.7,6.3,".229","0.138","88.1","9",36.3,19.3,46.1,40.5,26.1,52.6,19.9
"Bohm, Alec","664761","2024",14.2,6.6,".280","0.168","90.4","10.1",45.6,17.6,49.7,34.2,28.3,46.4,23.4
"Wade Jr., LaMonte","664774","2024",22.4,15.5,".260","0.121","90.6","12.9",44.1,24.2,40.9,39.6,22.4,39.6,25.7
"Brown, Seth","664913","2024",28,6.3,".231","0.148","90","14.6",40.6,29.1,52,37.9,24.9,40.2,28.4
"McCarthy, Jake","664983","2024",15.8,6.3,".285","0.115","84.5","9.1",24.5,17.6,49.3,35.5,24.5,52.2,21
"Peña, Jeremy","665161","2024",17.1,3.8,".266","0.128","88.2","7.5",38.8,24.9,54.2,40.2,22.6,50.4,23
