"last_name, first_name","player_id","year","k_percent","bb_percent","batting_avg","isolated_power","exit_velocity_avg","launch_angle_avg","hard_hit_percent","whiff_percent","swing_percent","pull_percent","opposite_percent","groundballs_percent","flyballs_percent"
"Pujols, Albert","405395","2021",15.2,4.7,".236","0.197","90.3","12",39.7,21.7,47.1,46.1,25.4,46.1,26.7
"Cabrera, Miguel","408234","2021",22.4,7.6,".256","0.130","91.4","10",49,25.8,49.4,32.8,30,49,25.9
"Molina, Yadier","425877","2021",16.7,5.1,".252","0.118","88","15.3",31.6,24,57.1,43.4,22.3,42.6,29.1
"Cruz Jr., Nelson","443558","2021",21.6,8.7,".265","0.232","92.9","11.8",52.5,30.7,51,36.6,27,43.4,25.5
"Peralta, David","444482","2021",17.1,8.6,".259","0.143","89.3","5.3",41.8,21.3,46.5,31.2,28,54.9,15.6
"Escobar, Alcides","444876","2021",16,4.9,".288","0.116","81.7","11.1",21,21.9,52.1,31.1,30.7,45.3,20.6
"Longoria, Evan","446334","2021",23.4,12,".261","0.221","94.1","15.5",54.5,25.1,42.4,35.8,25.1,41.2,31.6
"Cabrera, Asdrúbal","452678","2021",22.7,10.2,".230","0.136","87.8","14.5",30.9,25.3,48.3,46.4,21.5,42.5,27.9
"Blackmon, Charlie","453568","2021",15.6,9.3,".270","0.141","87.6","10.2",38.5,20.2,47.3,35.7,22.5,47.4,22.3
"Maldonado, Martín","455117","2021",29.8,11,".172","0.128","88","17.6",33.2,28.9,42.8,40.1,25.9,37.2,32.4
"Cain, Lorenzo","456715","2021",16.8,9.1,".257","0.144","88.4","7.2",37.6,21.9,44.6,32.4,30,50,24.3
"Solano, Donovan","456781","2021",16.9,7.3,".280","0.124","88.3","11",36.6,20.3,49.7,33.1,27.2,42.1,27.2
"McCutchen, Andrew","457705","2021",23,14.1,".222","0.222","88.8","14.6",39.5,25.9,41.7,48.7,18.5,40.9,30.5
"Upton, Justin","457708","2021",29.6,10.8,".211","0.198","90.1","15.2",41.6,31.4,45.1,44.9,21,42.5,31.3
"Turner, Justin","457759","2021",16,10,".278","0.193","90.9","19.2",42.4,17.7,44.5,31.3,30.2,35.4,33.1
"Posey III, Buster","457763","2021",19.2,12.3,".304","0.195","88.5","8.7",39.4,23.9,44.6,30.3,24.8,46.5,23.2
"Votto, Joey","458015","2021",23.8,14.4,".266","0.297","92.9","18.2",53.2,29.4,43.9,40.9,22.2,33.2,36.9
"Gardner, Brett","458731","2021",21.7,13,".222","0.140","86.7","12.5",33.2,18.4,37.5,33.6,28.9,46,21.8
"Andrus, Elvis","462101","2021",15,5.7,".243","0.077","87.8","8.1",34.8,19.6,48.9,32.2,25.5,47,17.5
"Santana, Carlos","467793","2021",15.5,13.1,".214","0.128","89.9","12.9",41.9,22.3,43.4,43.4,17.1,45.3,26.5
"Belt, Brandon","474832","2021",27,12.6,".274","0.323","89.2","23",44.8,28.3,47.5,43,26,29.1,41.7
"Zimmerman, Ryan","475582","2021",28.2,5.9,".243","0.228","91.3","7.4",47.8,29,45.7,34.4,17.8,50,21.1
"Lowrie, Jed","476704","2021",21.1,9.6,".245","0.153","90.7","16.4",45.9,24.2,46.7,37.1,23.2,36.8,32.6
"Brantley Jr., Michael","488726","2021",10.4,6.5,".311","0.126","89.5","9.9",42.9,10.9,45.6,33.3,25.4,46.8,20.6
"Gurriel Jr., Yuli","493329","2021",11.2,9.8,".319","0.143","89.8","13.4",42,13.9,42.8,33.3,25.7,41.6,24.3
"Rojas, Miguel","500743","2021",13.7,6.9,".265","0.127","86.2","11.5",32.9,19.3,45.7,33.3,28.1,45.6,22
"Escobar, Eduardo","500871","2021",20.7,8,".253","0.219","87","20.8",34.5,23.9,49.5,45.3,23.7,33.3,33.3
"Lagares, Juan","501571","2021",23.2,3.7,".236","0.136","90.6","8.8",42.9,24.4,50.3,37.8,29.4,46.6,20.2
"Pham, Tommy","502054","2021",22.8,13.9,".229","0.154","90.8","7.6",47.6,23.6,38.2,30.8,28.5,49.6,21.4
"Martinez, J.D.","502110","2021",23.7,8.7,".286","0.232","92.1","16.9",49.4,29.2,54.2,33.4,30.6,34.1,31.5
"Goldschmidt, Paul","502671","2021",20,9.9,".294","0.220","92.6","17.1",50.6,24.9,44.2,37.1,24.4,37.3,31.1
"Gonzalez, Marwin","503556","2021",25.4,6.5,".199","0.105","87.9","8.9",34.5,24.2,47,44,20.5,52,16.5
"Altuve, Jose","514888","2021",13.4,9.7,".278","0.211","87.7","15.6",35,15.9,47.4,49.7,14.5,41,24.6
"Hernández, César","514917","2021",21.2,9.3,".232","0.154","87.4","10.7",33.2,22,47.1,35.2,23.7,47.3,25.1
"Segura, Jean","516416","2021",13.8,6.9,".290","0.146","87.2","5.8",37.4,17.3,48.7,30.2,28.3,52.4,19
"Castro, Starlin","516770","2021",17.9,7.5,".283","0.092","88.4","9.2",40.1,22.1,46.2,31.5,28.8,49.8,21
"Marte, Starling","516782","2021",18.8,8.2,".310","0.148","87.6","4.6",39.6,24.6,49.5,34.2,27,56.3,16.7
"Culberson, Charlie","518586","2021",23.6,6.3,".243","0.138","85.4","10.6",29.8,31.1,52.9,39.4,25,48.9,20.2
"Donaldson, Josh","518626","2021",21,13.6,".247","0.228","94.1","14.6",52.7,27.6,45.2,42.5,21.7,43.9,28.5
"Freeman, Freddie","518692","2021",15.4,12.2,".300","0.203","91.4","12",46.1,21,51.2,36.2,26.1,43.2,28.9
"Grandal, Yasmani","518735","2021",21.9,23.2,".240","0.280","93.1","14.2",53.2,25,31.9,44.3,19.7,41.4,27.6
"Heyward, Jason","518792","2021",19.3,7.6,".214","0.133","88.2","7.5",42.4,23.9,45.1,41.2,20.8,50.6,18.8
"LeMahieu, DJ","518934","2021",13.8,10.8,".268","0.094","90.6","5",43.5,14.4,41.4,23.4,36.6,52,18.3
"Moreland, Mitch","519048","2021",23,7.1,".227","0.188","91","12.9",47.7,30.4,47.7,39.7,24.1,46,28.7
"Rizzo, Anthony","519203","2021",15.1,9,".248","0.192","90.1","14.8",41.1,20.8,46.5,43.2,22.2,41.3,27.1
"Stanton, Giancarlo","519317","2021",27.1,10.9,".273","0.243","95.1","10.3",56.3,32.6,44.2,34.8,29.2,45.5,23
"Galvis, Freddy","520471","2021",19.5,6.9,".242","0.165","86.8","14.1",31.7,20.7,48.7,41.5,23.2,39.8,26.4
"Perez, Salvador","521692","2021",25.6,4.2,".273","0.271","93","15.9",56.2,33.7,58.9,42.7,22.2,37.4,33
"Flores, Wilmer","527038","2021",12.8,9.4,".262","0.185","88.6","18",35.4,16.4,46,43.8,20.2,37.2,32.1
"García, Avisaíl","541645","2021",23.5,7.4,".262","0.228","90.4","9.3",46.4,33.7,58.1,39.4,21.7,48.4,26.1
"Villar, Jonathan","542340","2021",26.1,9.1,".249","0.167","88","7",34.9,30.1,49.9,38,28.4,49.1,23.5
"Ortega, Rafael","542364","2021",21.2,9.1,".291","0.172","88.3","18.3",34.6,21.8,44.9,43.4,25,35.1,31.1
"Aguilar, Jesús","542583","2021",18.2,9,".261","0.198","89.6","19",41,25.9,44.8,41.3,21.2,33.3,31.7
"Berti, Jon","542932","2021",22.5,11.8,".210","0.103","87.1","1.9",38.3,21.8,42.3,29.1,34.9,59.4,13.7
"Crawford, Brandon","543063","2021",19.1,10.2,".298","0.224","88.8","14.7",43.3,29.3,51.7,33.2,27.7,40.5,28.7
"Cron, C.J.","543068","2021",21.4,11,".281","0.249","88.8","15.8",42,27.4,47.1,38.9,25.5,38.7,32.5
"Dickerson, Alex","543105","2021",24.4,7.4,".233","0.187","87.4","17",38.6,28.3,50.3,44,22.7,36.7,29
"Gomes, Yan","543228","2021",20.8,5.1,".252","0.169","89.6","14.1",38.2,20.6,50.9,36,20.2,37.9,24.3
"Grossman, Robbie","543257","2021",23.1,14.6,".239","0.176","87.8","21.1",34.1,21.6,38.4,43.9,25.4,30,35.9
"Harrison, Josh","543281","2021",13.4,5.6,".279","0.121","87.2","14.5",32.6,18.8,55.4,37,23.1,40.2,27.3
"Hosmer, Eric","543333","2021",17.5,8.5,".269","0.126","90.5","3.3",47,22.9,48.3,26.4,30.8,56.2,14.8
"McCann, James","543510","2021",27.9,7.8,".232","0.117","87.3","9.3",40.7,27,50.2,35.4,25.5,52.1,24
"Miller, Brad","543543","2021",29.7,11.9,".227","0.226","92.4","12.9",47.9,30.9,45.9,37.4,20.5,44.7,26.5
"Semien, Marcus","543760","2021",20.2,9.1,".265","0.273","89.7","20.3",41.3,21.5,45.1,47,19.4,31,36.7
"Shaw, Travis","543768","2021",27.2,9.6,".200","0.173","87.7","19.9",38.7,25.7,46.4,38.7,25.2,35.5,28.4
"Springer III, George","543807","2021",23.1,10.8,".264","0.291","89.4","19",41.6,27,45.8,46.6,19.9,32.6,30.3
"Vázquez, Christian","543877","2021",16.9,6.6,".258","0.094","86.3","13.6",31.1,17.6,47,28.8,33,42.2,28
"Wong, Kolten","543939","2021",16.9,6.3,".272","0.175","88.3","12.8",34.8,18.9,47.9,37.8,25.2,43.8,23
"Gregorius, Didi","544369","2021",16.4,6.1,".209","0.161","86.1","18.3",26.6,24.6,54.4,44.5,23.1,38.3,26
"Garcia, Leury","544725","2021",20.5,8.6,".267","0.109","86.1","4.3",32.5,24.4,52.6,34.9,25.3,56.9,18.7
"Grichuk, Randal","545341","2021",20.9,5,".241","0.182","89.8","16.1",41.1,23.2,52.3,36.4,26.2,39.7,29.4
"Stassi, Max","545358","2021",31.7,8.8,".241","0.185","89.9","11",42.5,31.5,44.5,40.7,19.8,45.1,26.4
"Herrera, Odúbel","546318","2021",15.7,5.9,".260","0.156","88.9","7.3",40.1,20,50.3,31.1,27.4,50.1,17.7
"Harper, Bryce","547180","2021",22.4,16.7,".309","0.306","92.5","13.3",49.7,32,47.5,36.4,28.3,41.9,26.4
"Abreu, José","547989","2021",21.7,9.3,".261","0.220","92","10.4",49.3,27.7,48.4,35.1,23.6,47.3,25.6
"Díaz, Elias","553869","2021",16.2,8.1,".246","0.218","87.1","14.7",37.6,24.1,51.3,37.6,26.5,40.9,25.4
"Narváez, Omar","553882","2021",18.9,9.2,".266","0.136","84.6","17.9",25.6,23.6,52.2,37.1,26.5,34.2,31
"Suárez, Eugenio","553993","2021",29.8,9.8,".198","0.230","89.1","18.3",39.8,29.5,42.7,46.3,21.2,36.3,35.7
"Polanco, Gregory","570256","2021",27.2,9.4,".208","0.146","89.9","15.9",48.3,30.6,48.1,43.8,20,40,22.9
"Urshela, Gio","570482","2021",24.7,4.5,".267","0.152","88.9","7.5",42,25,54,31.1,28.5,48.4,23.7
"Schoop, Jonathan","570731","2021",19.7,5.5,".278","0.157","88.1","10.8",40.2,24.7,52.5,35.9,25.1,48.4,20.3
"Arenado, Nolan","571448","2021",14.7,7.7,".255","0.239","89","20",37.5,18.5,46.8,45.8,20.8,31.3,32.7
"Barnhart, Tucker","571466","2021",25.8,7.5,".247","0.121","87.1","15.5",31.1,26.3,50.4,41.4,25.5,42.6,28.7
"Farmer, Kyle","571657","2021",18.3,4.2,".263","0.153","87.2","15.8",31.9,20,49.9,35.5,25,40.8,25.5
"Goodwin, Brian","571718","2021",21.4,12.2,".221","0.153","88.5","16.9",31.8,27.3,42,48.6,21.8,37.4,29.1
"Haniger, Mitch","571745","2021",24.5,7.8,".253","0.232","89.3","14.8",45.1,29.8,46.6,44.7,19.8,43.1,29.2
"Hernández, Enrique","571771","2021",18.8,10.4,".250","0.199","90.8","17.9",43.2,23.5,44.6,42.5,25.7,33.6,32.6
"Holt, Brock","571788","2021",18.8,8.8,".209","0.089","86.1","9.8",24.6,19.5,42.6,41.7,25.7,48.7,22.5
"Muncy, Max","571970","2021",20.3,14,".249","0.278","91.2","15.2",46.6,23.4,37.6,38.9,21.7,38.6,33.1
"Myers, Wil","571976","2021",28.2,10.8,".256","0.178","88","10.6",38,31.6,46.3,37.7,20,45.2,27.2
"Naquin, Tyler","571980","2021",23.3,7.7,".270","0.207","89.8","9.6",41.6,23.7,56.3,40.9,24.4,48.4,24
"Pollock, AJ","572041","2021",19,7.1,".297","0.239","90.3","12",47.4,24.2,52.8,38.2,22.5,39.5,27.8
"Seager, Kyle","572122","2021",24,8.8,".212","0.226","89","19.5",40.1,29.7,49.6,43.3,23.8,33.4,37.7
"Taylor, Michael A.","572191","2021",27.3,6.3,".244","0.112","89.4","12.1",40.2,31.2,51.9,32.4,25.7,46.2,27.5
"Walker, Christian","572233","2021",23.8,8.5,".244","0.138","88.8","15.6",41.1,27.3,53.6,38.4,28.3,39.4,28.3
"Zunino, Mike","572287","2021",35.2,9.1,".216","0.343","90.7","23.2",47,38.8,46.8,55,16.8,30.2,32.7
"Dickerson, Corey","572816","2021",18.6,6.8,".271","0.137","87.8","10.1",35.7,24.3,54.3,36.4,28.3,49.4,20.1
"Ruf, Darin","573131","2021",27.9,14.7,".271","0.248","93","9.8",54.5,25,38.1,40.3,22.7,43.8,23.3
"Yastrzemski, Mike","573262","2021",24.6,9.6,".224","0.233","89.5","19.4",39.3,24.2,45.9,46.3,20.5,34.3,35.8
"Contreras, Willson","575929","2021",28.6,10.8,".237","0.201","91.8","9.6",48.4,34.7,45.1,37.3,25.1,51.6,25.1
"Iglesias, Jose","578428","2021",14.7,4.1,".271","0.120","85.4","11.5",28.6,18.9,55,32.3,23.5,42.1,22
"Torreyes, Ronald","591720","2021",11.9,5.5,".242","0.104","82.2","12.2",14.1,14.2,52.8,38.2,24.4,48.1,22.3
"Bryant, Kris","592178","2021",23,10.6,".265","0.216","88.2","15.1",40,28,48.7,38.2,22.9,37.9,29.5
"Canha, Mark","592192","2021",20.5,12.3,".231","0.156","87.3","13.5",35.4,21.5,40.5,39.7,23.9,42.2,24.4
"Castellanos, Nick","592206","2021",20.7,7,".309","0.267","89.8","14",46.9,30.7,55,39.2,25,38,29.1
"Gamel, Ben","592325","2021",26.3,12.8,".247","0.141","89","16.7",36.5,27.2,44.5,39,22.8,32.4,29
"Goodrum, Niko","592348","2021",32.9,8.9,".214","0.145","88","13.4",40,37,48.5,38.4,22.7,41.1,31.4
"Judge, Aaron","592450","2021",25,11.8,".287","0.257","95.8","11.6",58.4,29.1,42.5,35.8,27,42.1,28
"Machado, Manny","592518","2021",15.9,9.8,".278","0.211","93.1","14",52.2,23,48,38.3,21.8,39.5,25.4
"Moran, Colin","592567","2021",24.2,10,".258","0.132","89.1","7.2",37.2,26.9,49.1,32.5,24.8,51.3,20.5
"Pederson, Joc","592626","2021",24.3,8.1,".238","0.184","91","14.1",47.6,26.3,48.7,34.4,25.9,40.1,29.3
"Realmuto, J.T.","592663","2021",24,8.9,".263","0.176","89.6","11.5",44.7,27,49.5,31.5,32.7,46.7,24.4
"Renfroe, Hunter","592669","2021",22.7,7.7,".259","0.242","90.1","15.6",44.3,25.9,48.2,41.8,26.4,38.5,27
"Rosario, Eddie","592696","2021",14.8,6.3,".259","0.176","88.5","15.5",35.8,19.2,53.5,40.1,24.7,38.6,28.7
"Simmons, Andrelton","592743","2021",13.7,7.1,".223","0.051","84.1","3.9",21.8,16.6,45,37,20.9,54.8,16.4
"Yelich, Christian","592885","2021",23.8,14.7,".248","0.125","91","2.8",48.8,24.9,41.4,33.9,29.8,55.7,17
"Merrifield, Whit","593160","2021",14.3,5.6,".277","0.118","86.9","14.1",28.8,18.3,50,34,31.8,41.7,25.8
"Bogaerts, Xander","593428","2021",18.7,10.3,".295","0.198","89.6","12.5",43,22,45.7,41.6,23.4,40.2,23.9
"Alberto, Hanser","593643","2021",10.2,1.6,".270","0.132","87.1","16.1",30.3,16,64.4,39.8,20.8,40.3,24.9
"Polanco, Jorge","593871","2021",18.3,7,".269","0.234","89.4","19.3",37.4,19.7,49.5,51.9,18.5,33,32.8
"Sanó, Miguel","593934","2021",34.4,11.1,".223","0.243","93.4","17.6",55.9,38.2,44.6,43.8,26,39.2,29.9
"Duvall, Adam","594807","2021",31.4,6.3,".228","0.263","89.8","23.6",43.9,29.3,50,46.8,17.8,30.7,40.1
"Eaton, Adam","594809","2021",24.7,7.6,".201","0.126","86.6","8.3",34,23.7,47.4,29.8,30.3,53.2,23.9
"Gosselin, Phil","594838","2021",21.7,6.4,".261","0.101","87.6","11.5",35.1,21.2,45.7,28.7,30.2,45.3,26.8
"Kiermaier, Kevin","595281","2021",25.4,8.5,".259","0.129","86.6","1.1",36.4,31.6,51.5,31.2,23.7,56.1,16.6
"Alfaro, Jorge","595751","2021",31.8,3.5,".244","0.098","90.9","1.8",49,33.2,59.1,26.5,28.1,57.1,15.3
"Profar, Jurickson","595777","2021",15.8,11.9,".227","0.093","85.3","14",30.2,17.9,43.7,35.7,29.9,43.3,20.6
"Báez, Javier","595879","2021",33.6,5.1,".265","0.229","90.1","10.6",45.2,40.6,56.9,40.2,22.1,46.7,24.9
"Hedges, Austin","595978","2021",27.9,4.8,".178","0.130","85.8","19",30.1,29.5,54,44,23.4,38.3,28.2
"Lindor, Francisco","596019","2021",18.3,11.1,".230","0.182","90.7","14.4",44.1,23.2,47.4,39.5,23.3,41.6,29.9
"Odor, Rougned","596059","2021",27.7,7.5,".202","0.177","89.1","19.6",38,29.1,51,51.6,21.5,40.4,30.9
"Slater, Austin","596103","2021",27.5,9.2,".241","0.182","87.1","7.8",41.6,30.2,45.5,34.7,25.8,51.6,22.6
"Story, Trevor","596115","2021",23.4,8.9,".251","0.220","90.6","17.5",42.6,27.4,50.8,33.9,28.6,36.5,30.9
"Vogelbach, Daniel","596129","2021",22.1,16.7,".219","0.162","91.4","11.7",48.7,19.2,32.8,35.4,25.9,45.6,25.3
"Sánchez, Gary","596142","2021",27.5,11.8,".204","0.219","89.5","20.5",42,29.4,44.1,54.6,19.1,35.9,31.3
"Kepler, Max","596146","2021",19.6,11,".211","0.202","89.8","16.3",42.5,23,44.7,41.9,21.3,37.7,28.1
"Franco, Maikel","596748","2021",16.6,5,".210","0.145","88.2","9.1",33.9,24.1,50.1,42.8,22.4,48.6,20.8
"Choi, Ji Man","596847","2021",28.5,14.8,".229","0.182","91.2","14.8",46.8,31.7,42.5,37.4,26.9,40.4,24
"Bradley Jr., Jackie","598265","2021",30.8,6.5,".163","0.098","89.7","9.6",40.3,34.3,47.8,36.4,19.4,49.6,20.9
"Severino, Pedro","600474","2021",26,8.1,".248","0.135","88.2","15.2",38.5,29.5,47.9,43.3,25.8,39.3,20.4
"Candelario, Jeimer","600869","2021",21.6,10.4,".271","0.172","88.7","12.6",39.1,23.5,47.6,40.8,23.5,40.8,25.6
"Daza, Yonathan","602074","2021",18.1,6.3,".282","0.073","85.2","6.6",27,19.8,50.3,31,32.3,55.6,21.4
"Urías, Ramón","602104","2021",25.7,9.5,".279","0.133","89.6","5.2",42.5,25.8,43.9,31.7,31.7,50.5,18.8
"Ahmed, Nick","605113","2021",22,7.2,".221","0.118","87.2","10.1",27.9,26.9,50,38.7,24,49.2,21.6
"Anderson, Brian","605119","2021",24.6,9.8,".249","0.129","88.8","11.3",38.7,28.3,50.2,32.1,31,48.8,25
"Bell, Josh","605137","2021",17.8,11.4,".261","0.215","92.5","4.9",52,24.1,46.7,36.8,24,54.3,21.3
"Betts, Mookie","605141","2021",15.6,12.4,".264","0.223","90.3","18.9",41,16.8,40.4,45.2,22.6,34.8,33
"Caratini, Victor","605170","2021",23,9.8,".227","0.096","90","8.4",44.3,25.5,44.8,34.5,25.5,50.6,21.7
"Panik, Joe","605412","2021",13.2,6.6,".208","0.076","86.5","9.7",25.5,14.4,43.8,31.4,27.9,46.1,19.1
"Zimmer, Bradley","605548","2021",35.1,8.6,".227","0.117","90.7","6.8",42.5,36.4,44.8,38.1,24.9,50.3,21.5
"Castro, Harold","605612","2021",21.2,4.1,".283","0.076","88.6","10.2",38.5,25.8,57.7,25.8,28.2,42.9,22.6
"Tapia, Raimel","606132","2021",13.1,7.5,".273","0.099","85.7","-4.4",31.5,14.7,51.2,26.5,32,68,12.3
"Hernández, Teoscar","606192","2021",24.9,6.1,".296","0.228","91.8","13.1",49,31.8,51.8,40.6,26,39.4,27.5
"Mercedes, Yermín","606213","2021",17.6,7.6,".271","0.133","87.3","15.8",29.2,22,53.5,35.4,30.8,40.5,28.2
"Marte, Ketel","606466","2021",16,8.3,".318","0.214","91.1","10.3",48.4,17.3,45.9,37,26.7,46.3,19.9
"Haase, Eric","606992","2021",31.2,6.8,".231","0.228","90.9","16",47.9,34.7,48.1,44,25.2,38.5,32.5
"Nimmo, Brandon","607043","2021",20.5,14,".292","0.145","89.3","8.8",41.1,22.6,42.5,32.7,32.3,48.4,18.5
"Peterson, Jace","607054","2021",22.5,12.6,".247","0.120","87.7","12",34.7,27.2,40.3,31.1,26.9,42.5,28.5
"Turner, Trea","607208","2021",17,6.3,".328","0.208","89.6","11.4",46.2,23,49.2,36.6,25.6,45.6,23.5
"Pillar, Kevin","607680","2021",23.3,3.2,".231","0.184","85.8","20.2",31.8,24.5,52.6,42,23.7,35.9,30.6
"Stallings, Jacob","607732","2021",19.9,11.5,".246","0.123","88.1","10.7",36.4,23.4,42.5,35.1,21,44.7,23.4
"Ramírez, José","608070","2021",13.7,11.3,".266","0.272","90","18.2",42.4,14.9,43,54.7,15.1,36.2,27
"Bregman, Alex","608324","2021",13.3,11,".270","0.152","89","15.9",38.1,13.5,41.4,48.2,18.7,41.5,27.1
"Gallo, Joey","608336","2021",34.6,18,".199","0.259","91.5","22.7",45.8,38.8,40.4,43,22.7,36.4,35.7
"Kelly, Carson","608348","2021",20.6,12.3,".240","0.171","88.2","18.6",34,25,42,38.3,29.4,31.9,32.8
"Seager, Corey","608369","2021",16.1,11.7,".306","0.215","91","10.7",49.3,28.1,53.3,33.8,24.1,46.6,24.1
"Winker, Jesse","608385","2021",15.5,10.9,".305","0.251","90.6","10.8",47.1,20.2,45.1,37.9,24.7,42.5,25.3
"Murphy, Tom","608596","2021",30.5,12.3,".202","0.148","88.6","15.9",38.1,33.3,44.5,44.8,20.4,44.2,27.6
"Mayfield, Jack","608686","2021",23.4,5.9,".218","0.169","85.4","17",26.7,24.7,52.9,35.1,31.7,41.6,25.7
"Reyes, Franmil","614177","2021",32,9.2,".254","0.268","91.9","9.8",48.5,33.7,45.4,37.5,22.1,46.3,25
"Torrens, Luis","620443","2021",26.2,7.4,".243","0.188","90.9","6.1",43.2,27.4,45.3,29.6,26.8,52,22
"Swanson, Dansby","621020","2021",25.6,8,".248","0.201","89.3","14.1",42.7,30.4,48.1,40.3,24.2,40.1,28.9
"Newman, Kevin","621028","2021",7.4,4.9,".226","0.083","85.3","9.9",26,12.1,44.9,31.8,25.4,45.8,21.4
"Taylor, Chris","621035","2021",28.7,10.8,".254","0.184","88.2","17.4",38.1,32.8,45.6,42.2,22.4,36.9,32.3
"Correa, Carlos","621043","2021",18.1,11.7,".279","0.206","90.2","12.1",42.7,20.9,42.1,33.5,28.3,42.5,23.4
"Phillips, Brett","621433","2021",38.7,11.3,".206","0.221","89.6","17.8",45.1,36.5,42.6,38.9,19.4,36.1,38.2
"Taylor, Tyrone","621438","2021",21.8,7.4,".247","0.210","88.6","16",37.3,23.6,49.2,44.3,24.3,41.6,27
"Buxton, Byron","621439","2021",24.4,5.1,".306","0.341","92.5","13.3",53.8,29.4,53,47.4,18.5,39.3,31.8
"Brinson, Lewis","621446","2021",24.8,4.5,".226","0.150","88.5","14",37.7,31.8,55.6,35.8,23,43.1,20.1
"Duggar, Steven","621453","2021",29.6,9.1,".257","0.180","88","15.2",33.9,27.7,41.9,31.1,30.6,38.3,31.7
"Stewart, DJ","621466","2021",28,13.8,".204","0.170","87.8","19.7",34.3,31.8,47.1,33.1,29.3,35.9,29.8
"Wisdom, Patrick","621550","2021",40.8,8.5,".231","0.287","91.2","19.1",51.9,41.3,50,53,15.1,32.4,36.2
"Wendle, Joey","621563","2021",22.6,5.6,".265","0.157","87.9","6.2",34.6,25,48.1,35.7,30,50,22
"Olson, Matt","621566","2021",16.8,13.1,".271","0.269","91.6","16.2",48.8,23.1,47,39.5,26.8,40.4,30.2
"Duffy, Matt","622110","2021",19.6,7.8,".287","0.094","87.5","7.5",34.8,15.4,42.4,24.7,34.8,48.9,18.1
"Margot, Manuel","622534","2021",15.1,8,".254","0.128","87.9","10.7",40.2,20.5,51.1,32.9,22.5,48,22.2
"Bote, David","623520","2021",22.3,8.3,".199","0.131","89.9","9.8",43.7,25,47.4,37.4,27.5,48.6,25.2
"Ramírez, Harold","623912","2021",15.5,3.9,".268","0.130","91.3","6.2",47.2,23.9,55.2,30.1,28.7,53.1,18.5
"Santander, Anthony","623993","2021",23.1,5.3,".241","0.192","90.7","18",43.5,25.1,51.5,39,23.5,35.2,26.5
"Alonso, Pete","624413","2021",19.9,9.4,".262","0.257","91","14.7",47.3,24.9,49.3,38.4,26.5,39,30.8
"Biggio, Cavan","624415","2021",26.5,12.6,".224","0.132","88.9","15.6",31.6,25.7,41.5,34.5,30.5,39,29.4
"Conforto, Michael","624424","2021",21.7,12.3,".232","0.152","88.5","13.2",39.5,23.3,44.3,42.1,22.4,45.1,29.3
"Frazier, Adam","624428","2021",10.8,7.5,".305","0.106","85.4","12.6",25.2,12.4,47.6,35.5,31.4,42.4,20.3
"Trevino, Jose","624431","2021",18.9,4,".239","0.101","87.5","9.5",36.9,22.4,48.2,32.6,27,45.9,22.7
"Nuñez, Dom","624513","2021",34.6,12.9,".189","0.210","86","21.9",31.2,32.8,41.1,50,18.8,31.9,36.2
"Soler, Jorge","624585","2021",23.6,11.1,".223","0.209","91.2","15.7",47,29.2,44.8,50.7,20.1,41.4,29.6
"Sosa, Edmundo","624641","2021",19.3,5.2,".271","0.118","86.7","6",32,27.9,53.6,33.3,25.4,51.8,21.5
"Heredia, Guillermo","628338","2021",23.3,9.2,".220","0.134","86.6","12.7",34.7,27.5,49.6,37.8,24,44,22.7
"Hernandez, Yadiel","628450","2021",20.4,7.6,".273","0.140","89.7","5.2",38.6,28.3,49,28.5,31.9,55.6,21.7
"Ibáñez, Andy","628451","2021",12.9,5.5,".277","0.158","88.8","15.5",38.6,20.5,51.6,31.8,26.4,38.2,31.8
"Cronenworth, Jake","630105","2021",14,8.6,".266","0.194","88.6","12.5",35,13.7,43.2,32.9,28.8,43.1,23.6
"Meadows, Austin","640457","2021",20.6,10,".234","0.224","89.3","21.7",37.9,24.4,46.7,40.3,25.5,28.7,36.9
"Anderson, Tim","641313","2021",21.6,4,".309","0.160","89.6","4.3",42.3,25.9,57.8,31.1,27.4,56,19.3
"Bauers, Jake","641343","2021",24.8,9.5,".209","0.068","88.1","20",37.7,26.9,47.5,39.7,23,34.3,27.9
"Bellinger, Cody","641355","2021",26.9,8.9,".165","0.137","89.3","22.2",34.4,29.7,51.4,42.4,22.3,31.7,33.9
"Calhoun, Willie","641432","2021",12,7.4,".250","0.131","90.2","14.9",41.9,16,44.5,34.8,22,40.1,23.3
"Crawford, J.P.","641487","2021",16.6,8.4,".273","0.103","86.3","9.8",30.6,15.5,44.2,30.4,28.4,46.7,17.8
"Dozier, Hunter","641531","2021",28.4,7.9,".216","0.178","89.9","15.8",42.2,32.4,48.8,37.5,21.2,38.3,27.7
"Fraley, Jake","641584","2021",26.8,17.4,".210","0.159","85.3","12.1",33.6,28.6,39.8,39,20.5,39.7,27.4
"Hampson, Garrett","641658","2021",23.9,6.7,".234","0.146","87","13",31.2,23.9,46,32.6,27.4,42.4,28.2
"Heim, Jonah","641680","2021",20.4,5.3,".196","0.162","87.1","15.5",37.9,21.6,50,41.2,21.3,40.3,24.2
"Mancini III, Trey","641820","2021",23.2,8.3,".255","0.177","88.9","9.7",42,29.6,47,33.6,28.3,49,22.7
"McKinney, Billy","641856","2021",26.3,10.7,".192","0.166","88.1","17.6",34.6,23.3,43.2,45.2,25.5,37.2,32.4
