#,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR
113,Austin Hays,BAL,144,566,16,76,67,5,6.70%,24.90%,0.169,0.345,0.275,0.325,0.444,0.33,0.309,112,-1.3,6.9,-1,2.5
114,Jack Suwinski,PIT,144,534,26,63,74,13,14.00%,32.20%,0.23,0.29,0.224,0.339,0.454,0.341,0.346,112,2.1,9.8,-1.7,2.6
115,Fernando Tatis Jr.,SDP,141,635,25,91,78,29,8.30%,22.20%,0.191,0.299,0.257,0.322,0.449,0.332,0.364,112,3,12.2,7.4,4.1
116,Patrick Wisdom,CHC,97,302,23,43,46,4,9.90%,36.80%,0.295,0.237,0.205,0.289,0.5,0.333,0.339,111,-0.3,4,-7.6,0.7
117,Mike Yastrzemski,SFG,106,381,15,54,43,2,11.80%,26.00%,0.212,0.286,0.233,0.33,0.445,0.333,0.325,111,-0.4,4.6,-1.1,1.6
118,Mark Canha,2 Tms,139,507,11,51,62,11,9.70%,15.60%,0.138,0.293,0.262,0.355,0.4,0.333,0.323,111,1,7.7,-8.2,1.7
119,Ha-Seong Kim,SDP,152,626,17,84,60,38,12.00%,19.80%,0.138,0.306,0.26,0.351,0.398,0.33,0.313,110,4.2,12.3,9,4.2
120,Gary Sánchez,2 Tms,75,267,19,33,47,0,7.90%,25.10%,0.275,0.212,0.217,0.288,0.492,0.329,0.343,110,-0.8,2.5,4.9,1.6
121,Lane Thomas,WSN,157,682,28,101,86,20,5.30%,25.80%,0.201,0.325,0.268,0.315,0.468,0.334,0.319,110,1.7,9.9,-1.3,3.2
122,Matt Chapman,TOR,140,581,17,66,54,4,10.70%,28.40%,0.185,0.319,0.24,0.33,0.424,0.328,0.337,110,-0.8,6,4.1,3
123,Masataka Yoshida,BOS,140,580,15,71,72,8,5.90%,14.00%,0.156,0.316,0.289,0.338,0.445,0.339,0.325,110,-1.9,4.8,-18.5,0.6
